Date,y1m,y3m,y6m,y12m,y2y,y5y,y10y,y30y
8/2/2001,3.629,3.528,3.465,3.446,3.891,4.642,5.148,5.577
8/3/2001,3.628,3.517,3.454,3.435,3.891,4.66,5.155,5.583
8/6/2001,3.628,3.496,3.432,3.425,3.858,4.646,5.151,5.591
8/7/2001,3.627,3.539,3.466,3.424,3.866,4.649,5.166,5.598
8/8/2001,3.597,3.467,3.392,3.382,3.726,4.524,5.048,5.506
8/9/2001,3.599,3.436,3.381,3.351,3.725,4.572,5.032,5.533
8/10/2001,3.587,3.414,3.37,3.319,3.683,4.524,4.978,5.503
8/13/2001,3.577,3.414,3.349,3.309,3.666,4.502,4.974,5.511
8/14/2001,3.546,3.426,3.371,3.319,3.716,4.513,4.964,5.505
8/15/2001,3.505,3.426,3.403,3.319,3.782,4.568,4.998,5.516
8/16/2001,3.466,3.394,3.36,3.288,3.715,4.513,4.938,5.476
8/17/2001,3.455,3.362,3.328,3.256,3.639,4.417,4.837,5.419
8/20/2001,3.475,3.434,3.411,3.298,3.714,4.476,4.9,5.452
8/21/2001,3.414,3.364,3.35,3.288,3.672,4.417,4.862,5.43
8/22/2001,3.454,3.374,3.361,3.298,3.722,4.468,4.892,5.434
8/23/2001,3.487,3.395,3.35,3.298,3.688,4.442,4.878,5.411
8/24/2001,3.496,3.445,3.412,3.393,3.763,4.479,4.92,5.448
8/27/2001,3.516,3.455,3.411,3.418,3.729,4.486,4.922,5.462
8/28/2001,3.526,3.416,3.34,3.409,3.661,4.401,4.834,5.404
8/29/2001,3.474,3.405,3.319,3.336,3.627,4.349,4.769,5.361
8/30/2001,3.415,3.363,3.266,3.336,3.592,4.379,4.81,5.384
8/31/2001,3.384,3.362,3.286,3.336,3.625,4.378,4.83,5.367
9/3/2001,3.394,3.362,3.296,3.336,3.625,4.363,4.824,5.368
9/4/2001,3.424,3.434,3.4,3.336,3.79,4.526,4.957,5.482
